id,name,latitude,longitude,listing_url
5203538,Beautiful Townhouse Boston's South End,42.34024,-71.07483,https://www.airbnb.com/rooms/5203538
5358934,"Renovated, Quiet, Free Parking",42.31681,-71.08001,https://www.airbnb.com/rooms/5358934
5364137,Studio Condo by Airport and T Station,42.38704,-71.00581,https://www.airbnb.com/rooms/5364137
5371051,Beautiful 3 bedroom Dorchester MA,42.31163,-71.06351,https://www.airbnb.com/rooms/5371051
5434353,Quiet  Beauty in Boston,42.28629,-71.13839,https://www.airbnb.com/rooms/5434353
5478135,City living near the beach!,42.38455,-71.00217,https://www.airbnb.com/rooms/5478135
5495267,Parking Renovated Close to Downtown,42.31676,-71.08,https://www.airbnb.com/rooms/5495267
5526487,*Fort Hill Inn: Penthouse Duplex* Close to Center,42.33211,-71.09842,https://www.airbnb.com/rooms/5526487
5526514,"Fresh! City Loft Apartment,  Minutes to Center!",42.3285,-71.09608,https://www.airbnb.com/rooms/5526514
5581575,Private Entrance * King Beds * Parking * Kid Ready,42.34628,-71.08064,https://www.airbnb.com/rooms/5581575
5718801,"Heart of South End, Convenient, Comfy Studio #42",42.34441,-71.07633,https://www.airbnb.com/rooms/5718801
5726250,Boston at your doorstep!,42.38118,-71.06073,https://www.airbnb.com/rooms/5726250
5738018,Sunny Two-Bedroom in Boston,42.32448,-71.10664,https://www.airbnb.com/rooms/5738018
5746844,Share South End Multi-level Loft/ with parking,42.33509,-71.07847,https://www.airbnb.com/rooms/5746844
5768819,"Stylish Downtown Studio in the SouthEnd, C.Ave# 4",42.34447,-71.07644,https://www.airbnb.com/rooms/5768819
5769127,"Stylish Downtown Studio in the SouthEnd, C.Ave# 3",42.34447,-71.07644,https://www.airbnb.com/rooms/5769127
5775139,Large room located in Allston,42.35211,-71.13178,https://www.airbnb.com/rooms/5775139
5781926,City sanctuary - garden terrace - ocean view,42.33286,-71.04506,https://www.airbnb.com/rooms/5781926
5782221,"""La Gemma"" - a gem in the North End",42.36726,-71.05424,https://www.airbnb.com/rooms/5782221
5813177,Sunny 1BR for Summer,42.34306,-71.0872,https://www.airbnb.com/rooms/5813177
5856633,Condo overlooking Boston Harbour,42.33284,-71.04685,https://www.airbnb.com/rooms/5856633
5870922,The Nantucket Room near Harvard Square,42.3605,-71.12633,https://www.airbnb.com/rooms/5870922
5884429,"Two Rooms, Private Bath, AC",42.28516,-71.13772,https://www.airbnb.com/rooms/5884429
5919529,Great location! 3 BD single fam. Kid-friendly.,42.35009,-71.07023,https://www.airbnb.com/rooms/5919529
5927267,"Large room, wood floor, 2 windows, 27 Dexter",42.33034,-71.05802,https://www.airbnb.com/rooms/5927267
5932402,South End Condo,42.34459,-71.06999,https://www.airbnb.com/rooms/5932402
5967421,The Meditation Room near Harvard Square,42.3605,-71.12633,https://www.airbnb.com/rooms/5967421
5974886,Serene home w private parking & easy MBTA access,42.32426,-71.05869,https://www.airbnb.com/rooms/5974886
6066455,Large 3.5 BR|2 BA Penthouse Duplex,42.35964,-71.07094,https://www.airbnb.com/rooms/6066455
6080461,Fort Hill Inn- Cozy Studio ApT 1.5 miles to Center,42.32966,-71.09597,https://www.airbnb.com/rooms/6080461
